feature_id,ion,cluster_mz,n_subjects,trend_direction,min_pvalue_bh,max_pvalue_bh,mean_slope,median_slope,mean_abs_rvalue,mean_intensity,max_abs_percent_change,rank_score,neg_log10_max_pvalue_bh,abs_mean_slope,label
pos_mz_60.0555_05855,pos,60.055499999999995,1,decrease,0.0,0.0,-4.380203009190656e-05,-4.380203009190656e-05,1.0,0.00010942979853575819,10.543153390902136,306.0623244668084,300.0,4.380203009190656e-05,pos 60.0555
pos_mz_119.0682_14467,pos,119.0682,1,increase,0.0,0.0,1.363383935419285e-05,1.363383935419285e-05,1.0,4.6280230250589785e-05,8.523350494361907,305.9787897682602,300.0,1.363383935419285e-05,pos 119.0682
pos_mz_157.9738_19902,pos,157.97385,1,decrease,0.0,0.0,-4.936586545719352e-05,-4.936586545719352e-05,1.0,0.00015655775004794236,8.383365181624058,305.97235861851885,300.0,4.936586545719352e-05,pos 157.9738
pos_mz_147.0800_18657,pos,147.07999999999998,1,decrease,0.0,0.0,-1.655596339925757e-05,-1.655596339925757e-05,1.0,4.515100429773623e-05,7.528061974032275,305.9308503477428,300.0,1.655596339925757e-05,pos 147.08
pos_mz_327.0048_38581,pos,327.0048,1,decrease,0.0,0.0,-6.670536636586033e-05,-6.670536636586033e-05,1.0,0.00024015202431684044,7.421888692658579,305.92540949729755,300.0,6.670536636586033e-05,pos 327.0048
pos_mz_179.1064_23178,pos,179.10645,1,decrease,0.0,0.0,-3.120706879009113e-05,-3.120706879009113e-05,1.0,0.00011446763423090033,7.289676301489351,305.9185375723812,300.0,3.120706879009113e-05,pos 179.1064
pos_mz_57.0339_03467,pos,57.03385,1,decrease,0.0,0.0,-1.9633235729060807e-05,-1.9633235729060807e-05,1.0,8.60351881848884e-05,6.150110335332407,305.8543127435712,300.0,1.9633235729060807e-05,pos 57.0338
pos_mz_141.1269_17984,pos,141.12688571428572,1,decrease,0.0,0.0,-3.0156258912324815e-05,-3.0156258912324815e-05,0.9999999999999999,0.00012362437818908798,5.930677043461571,305.8407756620111,300.0,3.0156258912324815e-05,pos 141.1269
pos_mz_95.0254_10172,pos,95.02544999999999,1,increase,0.0,0.0,4.26918059215315e-05,4.26918059215315e-05,1.0,0.00015939298085572168,5.881963970309017,305.8377123945946,300.0,4.26918059215315e-05,pos 95.0254
pos_mz_124.1199_15310,pos,124.1199,1,decrease,0.0,0.0,-9.173222785522955e-06,-9.173222785522955e-06,1.0,4.199370202670049e-05,5.327416033339552,305.8012263906538,300.0,9.173222785522955e-06,pos 124.1199
pos_mz_61.0559_06094,pos,61.055949999999996,1,decrease,0.0,0.0,-8.04936009001997e-06,-8.04936009001997e-06,1.0,4.9322459045281536e-05,4.437154630719179,305.735371684356,300.0,8.04936009001997e-06,pos 61.056
pos_mz_107.9950_12446,pos,107.99504999999999,1,decrease,0.0,0.0,-3.1184667480463458e-06,-3.1184667480463458e-06,1.0,3.599282082949698e-05,3.94001764682805,305.6937285003217,300.0,3.1184667480463458e-06,pos 107.995
pos_mz_83.0855_08770,pos,83.08550000000001,1,decrease,0.0025108056274486734,0.0025108056274486734,-0.0007107787729117279,-0.0007107787729117279,0.9999999793799168,0.0008589840386261318,32.06707271173038,9.119582553898404,2.6001869066394696,0.0007107787729117279,pos 83.0855
