ion,feature_id,cluster_mz,n_present_samples,min_detection_fraction,median_detection_fraction,n_total_samples,presence_fraction,passes
pos,pos_mz_143.9475_05285,143.94750000000002,1,0.8446601941747572,0.8446601941747572,1,1.0,True
pos,pos_mz_143.9630_05288,143.96304999999998,1,0.883495145631068,0.883495145631068,1,1.0,True
pos,pos_mz_144.0046_05295,144.0046,1,1.0,1.0,1,1.0,True
pos,pos_mz_144.1379_05312,144.13795,1,0.8640776699029126,0.8640776699029126,1,1.0,True
pos,pos_mz_145.0342_05334,145.0341857142857,1,1.0,1.0,1,1.0,True
pos,pos_mz_145.0857_05342,145.08575,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_146.9865_05400,146.98653333333334,1,1.0,1.0,1,1.0,True
pos,pos_mz_147.0229_05408,147.02294999999998,1,1.0,1.0,1,1.0,True
pos,pos_mz_148.0544_05456,148.0544,1,0.8446601941747572,0.8446601941747572,1,1.0,True
pos,pos_mz_148.9426_05471,148.9426,1,0.8349514563106796,0.8349514563106796,1,1.0,True
pos,pos_mz_148.9755_05477,148.97555,1,0.941747572815534,0.941747572815534,1,1.0,True
pos,pos_mz_149.0134_05485,149.0134,1,0.9223300970873787,0.9223300970873787,1,1.0,True
pos,pos_mz_149.0185_05488,149.0185,1,0.8640776699029126,0.8640776699029126,1,1.0,True
pos,pos_mz_149.0230_05492,149.02297142857142,1,1.0,1.0,1,1.0,True
pos,pos_mz_149.0385_05497,149.03853333333333,1,1.0,1.0,1,1.0,True
pos,pos_mz_149.1170_05519,149.11695,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_149.1320_05521,149.132,1,0.8737864077669902,0.8737864077669902,1,1.0,True
pos,pos_mz_150.0885_05552,150.0885,1,0.970873786407767,0.970873786407767,1,1.0,True
pos,pos_mz_150.9909_05575,150.99093333333334,1,0.8640776699029126,0.8640776699029126,1,1.0,True
pos,pos_mz_151.0178_05581,151.0177857142857,1,1.0,1.0,1,1.0,True
pos,pos_mz_151.0751_05604,151.07505,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_151.1115_05614,151.11145000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_151.1479_05619,151.14785,1,1.0,1.0,1,1.0,True
pos,pos_mz_152.1277_05658,152.12775,1,1.0,1.0,1,1.0,True
pos,pos_mz_152.9972_05677,152.99724999999998,1,0.8349514563106796,0.8349514563106796,1,1.0,True
pos,pos_mz_153.0907_05705,153.09065,1,1.0,1.0,1,1.0,True
pos,pos_mz_153.1270_05711,153.12705,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_155.0312_05768,155.03118571428573,1,0.8446601941747572,0.8446601941747572,1,1.0,True
pos,pos_mz_155.0700_05777,155.07,1,1.0,1.0,1,1.0,True
pos,pos_mz_155.1063_05784,155.10629999999998,1,1.0,1.0,1,1.0,True
pos,pos_mz_155.9901_05806,155.99006,1,1.0,1.0,1,1.0,True
pos,pos_mz_156.9741_05865,156.9741,1,1.0,1.0,1,1.0,True
pos,pos_mz_157.0170_05878,157.01695,1,0.883495145631068,0.883495145631068,1,1.0,True
pos,pos_mz_157.0491_05891,157.04909999999998,1,0.8155339805825242,0.8155339805825242,1,1.0,True
pos,pos_mz_157.0832_05896,157.08325,1,1.0,1.0,1,1.0,True
pos,pos_mz_158.0121_05936,158.01205000000002,1,0.9029126213592233,0.9029126213592233,1,1.0,True
pos,pos_mz_158.1171_05966,158.1171,1,0.9514563106796117,0.9514563106796117,1,1.0,True
pos,pos_mz_158.9697_05996,158.96965,1,1.0,1.0,1,1.0,True
pos,pos_mz_158.9735_05999,158.97355,1,1.0,1.0,1,1.0,True
pos,pos_mz_159.0993_06030,159.0993,1,0.8737864077669902,0.8737864077669902,1,1.0,True
pos,pos_mz_159.1164_06037,159.11635,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_160.9753_06099,160.97527142857143,1,1.0,1.0,1,1.0,True
pos,pos_mz_161.0117_06111,161.0117,1,1.0,1.0,1,1.0,True
pos,pos_mz_161.0384_06117,161.03844999999998,1,0.941747572815534,0.941747572815534,1,1.0,True
pos,pos_mz_162.0578_06166,162.05780000000001,1,0.9320388349514563,0.9320388349514563,1,1.0,True
pos,pos_mz_163.0177_06202,163.0177375,1,1.0,1.0,1,1.0,True
pos,pos_mz_163.0541_06217,163.05409999999998,1,0.9320388349514563,0.9320388349514563,1,1.0,True
pos,pos_mz_163.0751_06228,163.07505,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_163.0864_06233,163.08641428571426,1,0.8155339805825242,0.8155339805825242,1,1.0,True
pos,pos_mz_163.1323_06244,163.132325,1,1.0,1.0,1,1.0,True
pos,pos_mz_163.1476_06247,163.1476,1,0.8543689320388349,0.8543689320388349,1,1.0,True
pos,pos_mz_164.0129_06260,164.0129,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_164.9972_06308,164.9972,1,1.0,1.0,1,1.0,True
pos,pos_mz_165.0542_06325,165.05419999999998,1,0.8932038834951457,0.8932038834951457,1,1.0,True
pos,pos_mz_165.1269_06343,165.12695,1,0.970873786407767,0.970873786407767,1,1.0,True
pos,pos_mz_165.1633_06346,165.16325,1,0.8252427184466019,0.8252427184466019,1,1.0,True
pos,pos_mz_165.9684_06367,165.96835000000002,1,0.941747572815534,0.941747572815534,1,1.0,True
pos,pos_mz_166.9676_06411,166.96765,1,1.0,1.0,1,1.0,True
pos,pos_mz_166.9707_06413,166.97070000000002,1,0.8640776699029126,0.8640776699029126,1,1.0,True
